,ISBN,address,booktitle,doi,journal,language,month,note,number,pages,publisher,title,url,volume,year,clean,title_Arxiv,pdf_url_Arxiv,published_Arxiv,result_Arxiv,idv1,Arxiv_name,id,version,Anth_name,Succes,w_Anth,w_Arxiv,pages_Anth,pages_Arxiv,cosine,ref_Anth,ref_Arxiv,Jaccard,cosine_avg
12,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.821,,,November,,,10511--10527,Association for Computational Linguistics,IndoNLI: A Natural Language Inference Dataset for Indonesian,https://aclanthology.org/2021.emnlp-main.821,,2021,IndoNLI  A Natural Language Inference Dataset for Indonesian,IndoNLI: A Natural Language Inference Dataset for Indonesian,http://arxiv.org/pdf/2110.14566v1,2021-10-27 16:37:13+00:00,http://arxiv.org/abs/2110.14566v1,2110.14566v1,2110.14566v1.IndoNLI_A_Natural_Language_Inference_Dataset_for_Indonesian.pdf,2110.14566v1,1,,1.0,10287.0,10249.0,17.0,17.0,,132.0,118.0,0.9925120772946859,0.969502
13,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.155,,,November,,,2045--2051,Association for Computational Linguistics,Fairness-aware Class Imbalanced Learning,https://aclanthology.org/2021.emnlp-main.155,,2021,Fairness aware Class Imbalanced Learning,Fairness-aware Class Imbalanced Learning,http://arxiv.org/pdf/2109.10444v1,2021-09-21 22:16:30+00:00,http://arxiv.org/abs/2109.10444v1,2109.10444v1,2109.10444v1.Fairness_aware_Class_Imbalanced_Learning.pdf,2109.10444v1,1,Anth-Fairness-aware Class Imbalanced Learning.pdf,1.0,4333.0,4304.0,7.0,7.0,,70.0,58.0,0.9937428896473265,0.935858
14,,"Punta Cana, Dominican Republic",Findings of the Association for Computational Linguistics: EMNLP 2021,10.18653/v1/2021.findings-emnlp.82,,,November,,,957--976,Association for Computational Linguistics,To Protect and To Serve? Analyzing Entity-Centric Framing of Police Violence,https://aclanthology.org/2021.findings-emnlp.82,,2021,To Protect and To Serve  Analyzing Entity Centric Framing of Police Violence,To Protect and To Serve? Analyzing Entity-Centric Framing of Police Violence,http://arxiv.org/pdf/2109.05325v1,2021-09-11 17:37:21+00:00,http://arxiv.org/abs/2109.05325v1,2109.05325v1,2109.05325v1.To_Protect_and_To_Serve_Analyzing_Entity_Centric_Framing_of_Police_Violence.pdf,2109.05325v1,1,,1.0,12275.0,12240.0,20.0,20.0,,154.0,142.0,0.9930779880018459,0.987561
15,,"Punta Cana, Dominican Republic",Findings of the Association for Computational Linguistics: EMNLP 2021,10.18653/v1/2021.findings-emnlp.233,,,November,,,2735--2747,Association for Computational Linguistics,Multilingual Translation via Grafting Pre-trained Language Models,https://aclanthology.org/2021.findings-emnlp.233,,2021,Multilingual Translation via Grafting Pre trained Language Models,Multilingual Translation via Grafting Pre-trained Language Models,http://arxiv.org/pdf/2109.05256v1,2021-09-11 10:57:45+00:00,http://arxiv.org/abs/2109.05256v1,2109.05256v1,2109.05256v1.Multilingual_Translation_via_Grafting_Pre_trained_Language_Models.pdf,2109.05256v1,1,Anth-Multilingual Translation via Grafting Pre-trained Language Models.pdf,1.0,6929.0,6897.0,13.0,13.0,,79.0,69.0,0.990449661758854,0.954801
16,,"Punta Cana, Dominican Republic",Findings of the Association for Computational Linguistics: EMNLP 2021,10.18653/v1/2021.findings-emnlp.267,,,November,,,3116--3123,Association for Computational Linguistics,Unpacking the Interdependent Systems of Discrimination: Ableist Bias in NLP Systems through an Intersectional Lens,https://aclanthology.org/2021.findings-emnlp.267,,2021,Unpacking the Interdependent Systems of Discrimination  Ableist Bias in NLP Systems through an Intersectional Lens,Unpacking the Interdependent Systems of Discrimination: Ableist Bias in NLP Systems through an Intersectional Lens,http://arxiv.org/pdf/2110.00521v1,2021-10-01 16:40:58+00:00,http://arxiv.org/abs/2110.00521v1,2110.00521v1,2110.00521v1.Unpacking_the_Interdependent_Systems_of_Discrimination_Ableist_Bias_in_NLP_Systems_through_an_Intersectional_Lens.pdf,2110.00521v1,1,,1.0,4935.0,4908.0,8.0,8.0,,70.0,70.0,0.992603550295858,0.928749
17,,Online,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 2: Short Papers),10.18653/v1/2021.acl-short.108,,,August,,,854--861,Association for Computational Linguistics,Robust Transfer Learning with Pretrained Language Models through Adapters,https://aclanthology.org/2021.acl-short.108,,2021,Robust Transfer Learning with Pretrained Language Models through Adapters,Robust Transfer Learning with Pretrained Language Models through Adapters,http://arxiv.org/pdf/2108.02340v1,2021-08-05 02:30:13+00:00,http://arxiv.org/abs/2108.02340v1,2108.02340v1,2108.02340v1.Robust_Transfer_Learning_with_Pretrained_Language_Models_through_Adapters.pdf,2108.02340v1,1,Anth-Robust Transfer Learning with Pretrained Language Models through Adapters.pdf,1.0,3633.0,3656.0,8.0,8.0,,47.0,44.0,0.9673384294649062,0.877562
18,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.238,,,November,,,2998--3008,Association for Computational Linguistics,Adversarial Mixing Policy for Relaxing Locally Linear Constraints in Mixup,https://aclanthology.org/2021.emnlp-main.238,,2021,Adversarial Mixing Policy for Relaxing Locally Linear Constraints in Mixup,Adversarial Mixing Policy for Relaxing Locally Linear Constraints in Mixup,http://arxiv.org/pdf/2109.07177v1,2021-09-15 09:31:59+00:00,http://arxiv.org/abs/2109.07177v1,2109.07177v1,2109.07177v1.Adversarial_Mixing_Policy_for_Relaxing_Locally_Linear_Constraints_in_Mixup.pdf,2109.07177v1,1,Anth-Adversarial Mixing Policy for Relaxing Locally Linear Constraints in Mixup.pdf,1.0,6845.0,6798.0,11.0,11.0,,103.0,77.0,0.9911986588432523,0.966972
19,,"Punta Cana, Dominican Republic",Proceedings of the First Workshop on Causal Inference and NLP,10.18653/v1/2021.cinlp-1.2,,,November,,,21--32,Association for Computational Linguistics,Text as Causal Mediators: Research Design for Causal Estimates of Differential Treatment of Social Groups via Language Aspects,https://aclanthology.org/2021.cinlp-1.2,,2021,Text as Causal Mediators  Research Design for Causal Estimates of Differential Treatment of Social Groups via Language Aspects,Text as Causal Mediators: Research Design for Causal Estimates of Differential Treatment of Social Groups via Language Aspects,http://arxiv.org/pdf/2109.07542v1,2021-09-15 19:15:35+00:00,http://arxiv.org/abs/2109.07542v1,2109.07542v1,2109.07542v1.Text_as_Causal_Mediators_Research_Design_for_Causal_Estimates_of_Differential_Treatment_of_Social_Groups_via_Language_Aspects.pdf,2109.07542v1,1,,1.0,7634.0,7602.0,12.0,12.0,,77.0,67.0,0.9932935916542474,0.971072
20,,"Punta Cana, Dominican Republic",Findings of the Association for Computational Linguistics: EMNLP 2021,10.18653/v1/2021.findings-emnlp.319,,,November,,,3773--3783,Association for Computational Linguistics,Towards Realistic Single-Task Continuous Learning Research for NER,https://aclanthology.org/2021.findings-emnlp.319,,2021,Towards Realistic Single Task Continuous Learning Research for NER,Towards Realistic Single-Task Continuous Learning Research for NER,http://arxiv.org/pdf/2110.14694v1,2021-10-27 18:23:31+00:00,http://arxiv.org/abs/2110.14694v1,2110.14694v1,2110.14694v1.Towards_Realistic_Single_Task_Continuous_Learning_Research_for_NER.pdf,2110.14694v1,1,Anth-Towards Realistic Single-Task Continuous Learning Research for NER.pdf,1.0,4293.0,4263.0,11.0,11.0,,15.0,10.0,0.9876397881106533,0.949632
21,979-10-95546-34-4,"Marseille, France",Proceedings of the 12th Language Resources and Evaluation Conference,,,English,May,,,3096--3102,European Language Resources Association,Challenge Dataset of Cognates and False Friend Pairs from Indian Languages,https://aclanthology.org/2020.lrec-1.378,,2020,Challenge Dataset of Cognates and False Friend Pairs from Indian Languages,Challenge Dataset of Cognates and False Friend Pairs from Indian Languages,http://arxiv.org/pdf/2112.09526v1,2021-12-17 14:23:43+00:00,http://arxiv.org/abs/2112.09526v1,2112.09526v1,2112.09526v1.Challenge_Dataset_of_Cognates_and_False_Friend_Pairs_from_Indian_Languages.pdf,2112.09526v1,1,Anth-Challenge Dataset of Cognates and False Friend Pairs from Indian Languages.pdf,1.0,5093.0,5061.0,7.0,7.0,,45.0,0.0,0.9867205542725174,0.930478
22,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.809,,,November,,,10351--10366,Association for Computational Linguistics,Studying word order through iterative shuffling,https://aclanthology.org/2021.emnlp-main.809,,2021,Studying word order through iterative shuffling,Studying word order through iterative shuffling,http://arxiv.org/pdf/2109.04867v1,2021-09-10 13:27:06+00:00,http://arxiv.org/abs/2109.04867v1,2109.04867v1,2109.04867v1.Studying_word_order_through_iterative_shuffling.pdf,2109.04867v1,1,Anth-Studying word order through iterative shuffling.pdf,1.0,10861.0,10826.0,16.0,16.0,,50.0,39.0,0.9520405123622282,0.969754
23,,"Punta Cana, Dominican Republic",Proceedings of the Fourth BlackboxNLP Workshop on Analyzing and Interpreting Neural Networks for NLP,10.18653/v1/2021.blackboxnlp-1.4,,,November,,,42--57,Association for Computational Linguistics,The Language Model Understood the Prompt was Ambiguous: Probing Syntactic Uncertainty Through Generation,https://aclanthology.org/2021.blackboxnlp-1.4,,2021,The Language Model Understood the Prompt was Ambiguous  Probing Syntactic Uncertainty Through Generation,The Language Model Understood the Prompt was Ambiguous: Probing Syntactic Uncertainty Through Generation,http://arxiv.org/pdf/2109.07848v1,2021-09-16 10:27:05+00:00,http://arxiv.org/abs/2109.07848v1,2109.07848v1,2109.07848v1.The_Language_Model_Understood_the_Prompt_was_Ambiguous_Probing_Syntactic_Uncertainty_Through_Generation.pdf,2109.07848v1,1,,1.0,9166.0,9125.0,16.0,16.0,,35.0,22.0,0.9910350448247759,0.972238
24,,"Punta Cana, Dominican Republic",Findings of the Association for Computational Linguistics: EMNLP 2021,10.18653/v1/2021.findings-emnlp.265,,,November,,,3095--3101,Association for Computational Linguistics,Investigating Numeracy Learning Ability of a Text-to-Text Transfer Model,https://aclanthology.org/2021.findings-emnlp.265,,2021,Investigating Numeracy Learning Ability of a Text to Text Transfer Model,Investigating Numeracy Learning Ability of a Text-to-Text Transfer Model,http://arxiv.org/pdf/2109.04672v1,2021-09-10 05:33:17+00:00,http://arxiv.org/abs/2109.04672v1,2109.04672v1,2109.04672v1.Investigating_Numeracy_Learning_Ability_of_a_Text_to_Text_Transfer_Model.pdf,2109.04672v1,1,Anth-Investigating Numeracy Learning Ability of a Text-to-Text Transfer Model.pdf,1.0,3948.0,3922.0,7.0,7.0,,27.0,20.0,0.9921780986762936,0.918465
25,,"Punta Cana, Dominican Republic",Findings of the Association for Computational Linguistics: EMNLP 2021,10.18653/v1/2021.findings-emnlp.294,,,November,,,3464--3477,Association for Computational Linguistics,AStitchInLanguageModels: Dataset and Methods for the Exploration of Idiomaticity in Pre-Trained Language Models,https://aclanthology.org/2021.findings-emnlp.294,,2021,AStitchInLanguageModels  Dataset and Methods for the Exploration of Idiomaticity in Pre Trained Language Models,AStitchInLanguageModels: Dataset and Methods for the Exploration of Idiomaticity in Pre-Trained Language Models,http://arxiv.org/pdf/2109.04413v1,2021-09-09 16:53:17+00:00,http://arxiv.org/abs/2109.04413v1,2109.04413v1,2109.04413v1.AStitchInLanguageModels_Dataset_and_Methods_for_the_Exploration_of_Idiomaticity_in_Pre_Trained_Language_Models.pdf,2109.04413v1,1,,1.0,8964.0,8931.0,14.0,14.0,,65.0,48.0,0.9919694072657744,0.958769
26,,"Punta Cana, Dominican Republic",Proceedings of the Fourth BlackboxNLP Workshop on Analyzing and Interpreting Neural Networks for NLP,10.18653/v1/2021.blackboxnlp-1.18,,,November,,,250--264,Association for Computational Linguistics,Variation and generality in encoding of syntactic anomaly information in sentence embeddings,https://aclanthology.org/2021.blackboxnlp-1.18,,2021,Variation and generality in encoding of syntactic anomaly information in sentence embeddings,Variation and generality in encoding of syntactic anomaly information in sentence embeddings,http://arxiv.org/pdf/2111.06644v1,2021-11-12 10:23:43+00:00,http://arxiv.org/abs/2111.06644v1,2111.06644v1,2111.06644v1.Variation_and_generality_in_encoding_of_syntactic_anomaly_information_in_sentence_embeddings.pdf,2111.06644v1,1,Anth-Variation and generality in encoding of syntactic anomaly information in sentence embeddings.pdf,1.0,9472.0,9432.0,15.0,15.0,,76.0,62.0,0.9912617965746242,0.968094
27,,"Punta Cana, Dominican Republic",Findings of the Association for Computational Linguistics: EMNLP 2021,10.18653/v1/2021.findings-emnlp.301,,,November,,,3547--3556,Association for Computational Linguistics,Disentangling Generative Factors in Natural Language with Discrete Variational Autoencoders,https://aclanthology.org/2021.findings-emnlp.301,,2021,Disentangling Generative Factors in Natural Language with Discrete Variational Autoencoders,Disentangling Generative Factors in Natural Language with Discrete Variational Autoencoders,http://arxiv.org/pdf/2109.07169v1,2021-09-15 09:10:05+00:00,http://arxiv.org/abs/2109.07169v1,2109.07169v1,2109.07169v1.Disentangling_Generative_Factors_in_Natural_Language_with_Discrete_Variational_Autoencoders.pdf,2109.07169v1,1,Anth-Disentangling Generative Factors in Natural Language with Discrete Variational Autoencoders.pdf,1.0,6668.0,6639.0,10.0,10.0,,37.0,26.0,0.9912832929782083,0.948021
28,,Online,Proceedings of the 3rd Workshop on Natural Language Processing for Conversational AI,10.18653/v1/2021.nlp4convai-1.16,,,November,,,163--178,Association for Computational Linguistics,Learning to Learn End-to-End Goal-Oriented Dialog From Related Dialog Tasks,https://aclanthology.org/2021.nlp4convai-1.16,,2021,Learning to Learn End to End Goal Oriented Dialog From Related Dialog Tasks,Learning to Learn End-to-End Goal-Oriented Dialog From Related Dialog Tasks,http://arxiv.org/pdf/2110.15724v1,2021-10-10 15:27:45+00:00,http://arxiv.org/abs/2110.15724v1,2110.15724v1,2110.15724v1.Learning_to_Learn_End_to_End_Goal_Oriented_Dialog_From_Related_Dialog_Tasks.pdf,2110.15724v1,1,Anth-Learning to Learn End-to-End Goal-Oriented Dialog From Related Dialog Tasks.pdf,1.0,7688.0,7650.0,16.0,16.0,,32.0,25.0,0.987601078167116,0.948102
29,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.117,,,November,,,1558--1570,Association for Computational Linguistics,Evaluating the Robustness of Neural Language Models to Input Perturbations,https://aclanthology.org/2021.emnlp-main.117,,2021,Evaluating the Robustness of Neural Language Models to Input Perturbations,Evaluating the Robustness of Neural Language Models to Input Perturbations,http://arxiv.org/pdf/2108.12237v1,2021-08-27 12:31:17+00:00,http://arxiv.org/abs/2108.12237v1,2108.12237v1,2108.12237v1.Evaluating_the_Robustness_of_Neural_Language_Models_to_Input_Perturbations.pdf,2108.12237v1,1,Anth-Evaluating the Robustness of Neural Language Models to Input Perturbations.pdf,1.0,7374.0,7352.0,13.0,13.0,,63.0,63.0,0.9915966386554622,0.956596
30,,"Punta Cana, Dominican Republic",Findings of the Association for Computational Linguistics: EMNLP 2021,10.18653/v1/2021.findings-emnlp.356,,,November,,,4217--4226,Association for Computational Linguistics,Cleaning Dirty Books: Post-OCR Processing for Previously Scanned Texts,https://aclanthology.org/2021.findings-emnlp.356,,2021,Cleaning Dirty Books  Post OCR Processing for Previously Scanned Texts,Cleaning Dirty Books: Post-OCR Processing for Previously Scanned Texts,http://arxiv.org/pdf/2110.11934v1,2021-10-22 17:33:17+00:00,http://arxiv.org/abs/2110.11934v1,2110.11934v1,2110.11934v1.Cleaning_Dirty_Books_Post_OCR_Processing_for_Previously_Scanned_Texts.pdf,2110.11934v1,1,,1.0,6464.0,6483.0,10.0,10.0,,52.0,38.0,0.9815564552406658,0.909689
31,,Online,Proceedings of the Fourth Workshop on Neural Generation and Translation,10.18653/v1/2020.ngt-1.24,,,July,,,204--210,Association for Computational Linguistics,The NiuTrans System for WNGT 2020 Efficiency Task,https://aclanthology.org/2020.ngt-1.24,,2020,The NiuTrans System for WNGT 2020 Efficiency Task,The NiuTrans System for WNGT 2020 Efficiency Task,http://arxiv.org/pdf/2109.08008v1,2021-09-16 14:32:01+00:00,http://arxiv.org/abs/2109.08008v1,2109.08008v1,2109.08008v1.The_NiuTrans_System_for_WNGT_2020_Efficiency_Task.pdf,2109.08008v1,1,Anth-The NiuTrans System for WNGT 2020 Efficiency Task.pdf,1.0,4315.0,4298.0,7.0,7.0,,39.0,33.0,0.9736684619988031,0.93972
32,,"Online and Punta Cana, Dominican Republic",Proceedings of the Second Workshop on Insights from Negative Results in NLP,10.18653/v1/2021.insights-1.2,,,November,,,9--15,Association for Computational Linguistics,Does Commonsense help in detecting Sarcasm?,https://aclanthology.org/2021.insights-1.2,,2021,Does Commonsense help in detecting Sarcasm ,Does Commonsense help in detecting Sarcasm?,http://arxiv.org/pdf/2109.08588v1,2021-09-17 15:07:38+00:00,http://arxiv.org/abs/2109.08588v1,2109.08588v1,2109.08588v1.Does_Commonsense_help_in_detecting_Sarcasm.pdf,2109.08588v1,1,,1.0,4104.0,4072.0,7.0,7.0,,56.0,50.0,0.9888682745825603,0.899754
33,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.791,,,November,,,10096--10107,Association for Computational Linguistics,PAUSE: Positive and Annealed Unlabeled Sentence Embedding,https://aclanthology.org/2021.emnlp-main.791,,2021,PAUSE  Positive and Annealed Unlabeled Sentence Embedding,PAUSE: Positive and Annealed Unlabeled Sentence Embedding,http://arxiv.org/pdf/2109.03155v1,2021-09-07 15:46:19+00:00,http://arxiv.org/abs/2109.03155v1,2109.03155v1,2109.03155v1.PAUSE_Positive_and_Annealed_Unlabeled_Sentence_Embedding.pdf,2109.03155v1,1,,1.0,7569.0,7539.0,12.0,12.0,,83.0,70.0,0.9813213420961605,0.971832
